,bedrooms,bathrooms,square_feet,taxes,home_value,propertylandusedesc,fips_number,zip_code,tax_rate,county_name
0,4.0,2.0,1604,6089.82,498347.0,Single Family Residential,6037,96415.0,0.012220039450423098,Los Angeles
1,3.0,3.0,2384,6679.55,549917.0,Single Family Residential,6037,96452.0,0.012146469376287695,Los Angeles
2,3.0,2.0,1574,3876.31,235272.0,Single Family Residential,6037,97319.0,0.016475866231425752,Los Angeles
3,2.0,2.0,1619,4206.15,340000.0,Single Family Residential,6037,97329.0,0.012371029411764704,Los Angeles
4,2.0,3.0,2408,24353.42,2017254.0,Single Family Residential,6037,96086.0,0.012072560024667195,Los Angeles
5,4.0,2.0,1721,6861.51,629951.0,Single Family Residential,6037,96330.0,0.010892132880176396,Los Angeles
6,3.0,1.0,1136,5488.23,305481.0,Single Family Residential,6037,96090.0,0.017965863670735657,Los Angeles
7,2.0,1.0,1088,1498.86,79930.0,Single Family Residential,6037,96110.0,0.018752158138371073,Los Angeles
8,2.0,1.0,914,3473.87,260000.0,Single Family Residential,6037,96125.0,0.01336103846153846,Los Angeles
9,3.0,2.0,1263,1048.54,66220.0,Single Family Residential,6037,96208.0,0.015834189066747207,Los Angeles
10,3.0,1.0,1330,7072.55,595000.0,Single Family Residential,6037,96247.0,0.011886638655462186,Los Angeles
11,3.0,1.0,1017,3839.92,275061.0,Single Family Residential,6037,96229.0,0.01396024881753502,Los Angeles
12,2.0,1.0,850,3433.84,285180.0,Single Family Residential,6037,96163.0,0.012040956588821096,Los Angeles
13,2.0,1.0,920,916.49,49719.0,Single Family Residential,6037,96193.0,0.018433395683742634,Los Angeles
14,4.0,2.0,1202,597.84,33196.0,Single Family Residential,6037,96507.0,0.01800939872273768,Los Angeles
15,6.0,5.0,6014,16345.17,1335281.0,Single Family Residential,6037,96389.0,0.012240996464414606,Los Angeles
16,6.0,3.0,2444,6987.78,570000.0,Single Family Residential,6037,96364.0,0.012259263157894737,Los Angeles
17,3.0,2.0,1169,4890.07,405083.0,Single Family Residential,6037,96370.0,0.01207177294529763,Los Angeles
18,3.0,2.0,1238,5292.71,394900.0,Single Family Residential,6037,96374.0,0.013402658900987591,Los Angeles
19,2.0,1.0,998,2328.88,174459.0,Single Family Residential,6037,95984.0,0.013349153669343514,Los Angeles
20,5.0,4.0,3279,3633.51,221860.0,Single Family Residential,6037,97319.0,0.016377490309204004,Los Angeles
21,3.0,2.0,2104,5165.13,418694.0,Single Family Residential,6037,96414.0,0.012336288554409665,Los Angeles
22,2.0,1.0,872,2064.86,169843.0,Single Family Residential,6037,96414.0,0.01215746306883416,Los Angeles
23,3.0,1.0,1190,2366.31,194005.0,Single Family Residential,6037,96414.0,0.012197159867013736,Los Angeles
24,3.0,2.0,1534,3550.74,288259.0,Single Family Residential,6037,96414.0,0.012317880794701986,Los Angeles
25,3.0,2.0,1247,5295.13,433000.0,Single Family Residential,6037,96414.0,0.012228937644341801,Los Angeles
26,4.0,4.0,2616,5804.51,475804.0,Single Family Residential,6037,96414.0,0.012199372010323579,Los Angeles
27,2.0,2.0,1194,1322.6,81956.0,Single Family Residential,6037,96414.0,0.01613792766850505,Los Angeles
28,3.0,2.0,1292,3707.08,299690.0,Single Family Residential,6037,96414.0,0.012369715372551637,Los Angeles
29,2.0,1.0,690,640.73,38257.0,Single Family Residential,6037,96414.0,0.016748046109208773,Los Angeles
30,2.0,1.0,958,2128.2,161736.0,Single Family Residential,6037,96414.0,0.013158480486719097,Los Angeles
31,3.0,2.0,1362,2275.39,186363.0,Single Family Residential,6037,96414.0,0.012209451446907379,Los Angeles
32,3.0,2.0,1862,5427.21,440438.0,Single Family Residential,6037,96415.0,0.012322301890390928,Los Angeles
33,3.0,3.0,2133,1234.22,94225.0,Single Family Residential,6037,96415.0,0.013098646855929956,Los Angeles
34,2.0,1.0,957,631.22,43850.0,Single Family Residential,6037,96415.0,0.014394982896237174,Los Angeles
35,3.0,2.0,1336,5301.61,433500.0,Single Family Residential,6037,96415.0,0.012229780853517877,Los Angeles
36,3.0,2.0,1371,2607.88,214215.0,Single Family Residential,6037,96415.0,0.012174124127628784,Los Angeles
37,3.0,2.0,1419,2619.82,203463.0,Single Family Residential,6037,96415.0,0.012876149471894154,Los Angeles
38,2.0,1.0,810,4589.61,378000.0,Single Family Residential,6037,96415.0,0.012141825396825396,Los Angeles
39,3.0,2.0,1306,2643.28,212932.0,Single Family Residential,6037,96415.0,0.012413728326414068,Los Angeles
40,4.0,3.0,1926,3527.94,275849.0,Single Family Residential,6037,96415.0,0.01278938839727532,Los Angeles
41,3.0,2.0,1649,3412.33,274197.0,Single Family Residential,6037,96415.0,0.012444811577077794,Los Angeles
42,2.0,1.0,1095,2087.18,164436.0,Single Family Residential,6037,96415.0,0.012692962611593568,Los Angeles
43,3.0,2.0,1662,5087.78,415924.0,Single Family Residential,6037,96415.0,0.012232475163731835,Los Angeles
44,3.0,2.0,1615,3358.6,264609.0,Single Family Residential,6037,96415.0,0.012692689968973088,Los Angeles
45,3.0,1.0,1118,4442.19,355336.0,Single Family Residential,6037,96415.0,0.012501378976517999,Los Angeles
46,2.0,2.0,1369,2505.59,205299.0,Single Family Residential,6037,96415.0,0.012204589403747705,Los Angeles
47,3.0,1.0,1148,3084.58,254564.0,Single Family Residential,6037,96415.0,0.01211711003912572,Los Angeles
48,3.0,2.0,1216,807.39,53387.0,Single Family Residential,6037,96415.0,0.015123344634461572,Los Angeles
49,4.0,2.0,1602,824.57,63736.0,Single Family Residential,6037,96415.0,0.012937272499058617,Los Angeles
50,5.0,2.0,1437,4040.11,334117.0,Single Family Residential,6037,96415.0,0.012091901938542487,Los Angeles
51,3.0,2.0,1352,2886.11,230763.0,Single Family Residential,6037,96415.0,0.012506814350654136,Los Angeles
52,2.0,1.0,1105,2726.42,212913.0,Single Family Residential,6037,96415.0,0.012805324240417448,Los Angeles
53,2.0,1.0,986,3236.02,268294.0,Single Family Residential,6037,96415.0,0.012061469880056953,Los Angeles
54,2.0,2.0,1396,4937.68,408899.0,Single Family Residential,6037,96415.0,0.012075549218755732,Los Angeles
55,3.0,2.0,1484,705.55,48826.0,Single Family Residential,6037,96415.0,0.014450292876745995,Los Angeles
56,3.0,3.0,2143,3709.74,299428.0,Single Family Residential,6037,96415.0,0.012389422498897898,Los Angeles
57,3.0,2.0,1728,5309.04,438000.0,Single Family Residential,6037,96414.0,0.012121095890410959,Los Angeles
58,3.0,2.0,1499,5997.19,497706.0,Single Family Residential,6037,96414.0,0.012049663857779492,Los Angeles
59,2.0,2.0,1955,2541.78,200962.0,Single Family Residential,6037,96414.0,0.01264806281784616,Los Angeles
60,2.0,2.0,2166,2240.34,174986.0,Single Family Residential,6037,96410.0,0.012802967094510419,Los Angeles
61,4.0,2.0,1696,1320.34,92110.0,Single Family Residential,6037,96410.0,0.014334382803170122,Los Angeles
62,4.0,3.0,2220,1439.99,108473.0,Single Family Residential,6037,96410.0,0.013275100716307284,Los Angeles
63,3.0,3.0,1873,3754.57,307134.0,Single Family Residential,6037,96410.0,0.01222453391679202,Los Angeles
64,3.0,2.0,1782,3006.1,245563.0,Single Family Residential,6037,96410.0,0.012241665071692396,Los Angeles
65,3.0,2.0,780,2281.15,188689.0,Single Family Residential,6037,96410.0,0.012089469974402325,Los Angeles
66,3.0,2.0,1266,4129.7,334587.0,Single Family Residential,6037,96420.0,0.012342679183590515,Los Angeles
67,2.0,1.0,926,3837.12,311974.0,Single Family Residential,6037,96420.0,0.01229948649566951,Los Angeles
68,3.0,2.0,1643,2570.29,209797.0,Single Family Residential,6037,96420.0,0.012251319132304084,Los Angeles
69,3.0,2.0,1720,5853.25,477465.0,Single Family Residential,6037,96410.0,0.01225901374969893,Los Angeles
70,1.0,1.0,684,2597.69,207721.0,Single Family Residential,6037,96410.0,0.01250566866132938,Los Angeles
71,3.0,3.0,2016,10570.1,870000.0,Single Family Residential,6037,96410.0,0.012149540229885058,Los Angeles
72,4.0,3.0,1948,4750.27,379950.0,Single Family Residential,6037,96410.0,0.012502355573101726,Los Angeles
73,2.0,2.0,1480,1313.96,105574.0,Single Family Residential,6037,96410.0,0.012445867353704511,Los Angeles
74,4.0,4.0,3700,23494.42,1941626.0,Single Family Residential,6037,96410.0,0.012100383905036293,Los Angeles
75,2.0,2.0,1181,5899.02,483441.0,Single Family Residential,6037,96424.0,0.012202150831228631,Los Angeles
76,2.0,1.0,800,624.59,49864.0,Single Family Residential,6037,96410.0,0.012525870367399326,Los Angeles
77,2.0,1.0,1292,5206.63,429365.0,Single Family Residential,6037,96424.0,0.01212634937640469,Los Angeles
78,5.0,5.0,4528,15912.78,1308488.0,Single Family Residential,6037,96420.0,0.01216119674005417,Los Angeles
79,3.0,1.0,1101,868.69,61666.0,Single Family Residential,6037,96420.0,0.014087017156942237,Los Angeles
80,2.0,2.0,1411,3594.24,291649.0,Single Family Residential,6037,96420.0,0.01232385504493415,Los Angeles
81,2.0,1.0,972,4175.25,343026.0,Single Family Residential,6037,96349.0,0.012171817879694251,Los Angeles
82,2.0,1.0,803,758.29,56489.0,Single Family Residential,6037,96349.0,0.013423675405831222,Los Angeles
83,2.0,1.0,752,6059.11,494426.0,Single Family Residential,6037,96349.0,0.012254836922006528,Los Angeles
84,3.0,3.0,1885,8299.38,678273.0,Single Family Residential,6037,96349.0,0.01223604654762905,Los Angeles
85,2.0,2.0,1615,2782.53,227563.0,Single Family Residential,6037,96349.0,0.012227515017819242,Los Angeles
86,5.0,6.0,4225,14748.37,1214888.0,Single Family Residential,6037,96426.0,0.012139695181778074,Los Angeles
87,2.0,2.0,1239,3847.26,305091.0,Single Family Residential,6037,96426.0,0.01261020482413444,Los Angeles
88,2.0,4.0,2245,13978.59,1155000.0,Single Family Residential,6037,96426.0,0.012102675324675325,Los Angeles
89,3.0,3.0,2087,2277.88,181448.0,Single Family Residential,6037,96426.0,0.012553899739870377,Los Angeles
90,2.0,2.0,1815,5431.96,440247.0,Single Family Residential,6037,96426.0,0.012338437286341531,Los Angeles
91,4.0,4.0,3474,29324.65,1391624.0,Single Family Residential,6037,96426.0,0.02107225083787,Los Angeles
92,4.0,3.0,2210,6020.32,490636.0,Single Family Residential,6037,96426.0,0.012270440815594452,Los Angeles
93,3.0,2.0,1412,9029.08,752000.0,Single Family Residential,6037,96426.0,0.012006755319148936,Los Angeles
94,3.0,2.0,1432,6124.78,508492.0,Single Family Residential,6037,96412.0,0.012044987925080434,Los Angeles
95,3.0,4.0,2044,10138.53,836081.0,Single Family Residential,6037,96412.0,0.012126253317561338,Los Angeles
96,3.0,2.0,1148,4345.2,351238.0,Single Family Residential,6037,96412.0,0.01237109879910488,Los Angeles
97,3.0,1.0,1160,1131.57,84453.0,Single Family Residential,6037,96412.0,0.013398813541259635,Los Angeles
98,3.0,2.0,1847,9877.18,822351.0,Single Family Residential,6037,96412.0,0.012010905319018278,Los Angeles
99,2.0,2.0,1696,9582.58,790574.0,Single Family Residential,6037,96412.0,0.012121041167556737,Los Angeles
100,3.0,3.0,1793,4556.88,373305.0,Single Family Residential,6037,96412.0,0.012206854984530077,Los Angeles
101,2.0,1.0,1057,9844.73,815000.0,Single Family Residential,6037,96412.0,0.012079423312883435,Los Angeles
102,2.0,2.0,1270,7926.5,649101.0,Single Family Residential,6037,96424.0,0.012211504835148922,Los Angeles
103,3.0,2.0,1826,14955.39,1233617.0,Single Family Residential,6037,96424.0,0.012123203555074223,Los Angeles
104,5.0,3.0,2144,5016.61,408711.0,Single Family Residential,6037,96424.0,0.012274223106302497,Los Angeles
105,3.0,3.0,2471,3257.3,259935.0,Single Family Residential,6037,96424.0,0.0125312097255083,Los Angeles
106,3.0,3.0,2033,4708.5,388074.0,Single Family Residential,6037,96424.0,0.012132995253482583,Los Angeles
107,4.0,3.0,2312,4252.56,348453.0,Single Family Residential,6037,96424.0,0.01220411361073086,Los Angeles
108,2.0,2.0,1022,2250.51,181388.0,Single Family Residential,6037,96424.0,0.012407160341367678,Los Angeles
109,3.0,2.0,1436,8474.26,704399.0,Single Family Residential,6037,96424.0,0.012030482723570022,Los Angeles
110,5.0,7.0,7818,65142.12,5416482.0,Single Family Residential,6037,96086.0,0.012026647554630478,Los Angeles
111,2.0,2.0,1560,3369.57,258225.0,Single Family Residential,6037,96424.0,0.01304896892245135,Los Angeles
112,3.0,3.0,2854,3019.71,225916.0,Single Family Residential,6037,96412.0,0.01336651675844119,Los Angeles
113,3.0,3.0,2328,2479.57,185765.0,Single Family Residential,6037,96412.0,0.01334788576965521,Los Angeles
114,2.0,2.0,1917,7141.0,581357.0,Single Family Residential,6037,96412.0,0.01228333020846055,Los Angeles
115,4.0,3.0,2543,8927.8,727695.0,Single Family Residential,6037,96412.0,0.012268601543228962,Los Angeles
116,4.0,5.0,3273,16807.14,1607473.0,Single Family Residential,6037,96412.0,0.010455628181624202,Los Angeles
117,2.0,1.0,1071,5358.76,444000.0,Single Family Residential,6037,96412.0,0.012069279279279279,Los Angeles
118,2.0,2.0,2629,2753.09,203016.0,Single Family Residential,6037,96412.0,0.01356095086101588,Los Angeles
119,3.0,2.0,1787,4888.71,397270.0,Single Family Residential,6037,96412.0,0.012305761824451884,Los Angeles
120,4.0,4.0,3574,20716.26,1680914.0,Single Family Residential,6037,96412.0,0.012324402081248654,Los Angeles
121,3.0,2.0,2145,3998.55,320919.0,Single Family Residential,6037,96412.0,0.012459686089013116,Los Angeles
122,6.0,4.0,4258,13738.3,1116775.0,Single Family Residential,6037,96095.0,0.012301761769380581,Los Angeles
123,3.0,2.0,2318,2134.62,157564.0,Single Family Residential,6037,96412.0,0.0135476377852809,Los Angeles
124,4.0,3.0,3488,14232.87,1166444.0,Single Family Residential,6037,96412.0,0.012201931682961206,Los Angeles
125,5.0,4.0,4296,10587.27,860795.0,Single Family Residential,6037,96412.0,0.012299409267014795,Los Angeles
126,4.0,3.0,2828,2983.98,222236.0,Single Family Residential,6037,96412.0,0.013427077521193686,Los Angeles
127,3.0,3.0,2183,1869.43,140792.0,Single Family Residential,6037,96412.0,0.013277956133871243,Los Angeles
128,3.0,2.0,2082,9234.77,759523.0,Single Family Residential,6037,96412.0,0.01215864430701901,Los Angeles
129,4.0,3.0,2982,9440.35,777734.0,Single Family Residential,6037,96426.0,0.012138276068681581,Los Angeles
130,2.0,2.0,1821,9507.39,776888.0,Single Family Residential,6037,96426.0,0.012237787171381203,Los Angeles
131,4.0,3.0,2430,14719.36,1223000.0,Single Family Residential,6037,96426.0,0.012035453802125921,Los Angeles
132,3.0,3.0,2360,11863.27,977282.0,Single Family Residential,6037,96426.0,0.012139044820225892,Los Angeles
133,4.0,3.0,3213,8509.59,684611.0,Single Family Residential,6037,96426.0,0.012429817808945517,Los Angeles
134,4.0,4.0,2989,20945.95,1725000.0,Single Family Residential,6037,96426.0,0.012142579710144928,Los Angeles
135,7.0,5.0,5164,8960.96,702220.0,Single Family Residential,6037,96426.0,0.01276090114209222,Los Angeles
136,3.0,3.0,1854,11308.04,926843.0,Single Family Residential,6037,96426.0,0.01220059923849023,Los Angeles
137,4.0,3.0,2810,4880.13,380775.0,Single Family Residential,6037,96426.0,0.012816308843805397,Los Angeles
138,5.0,3.0,2623,14375.09,1177489.0,Single Family Residential,6037,96426.0,0.012208258421097776,Los Angeles
139,5.0,3.0,2488,2459.47,186351.0,Single Family Residential,6037,96426.0,0.013198050989798819,Los Angeles
